ANZAC ID ,Mouse ID,treatment,diet,diet.P,diet.C,diet.F,ave.intake,intake.P,intake.C,intake.F,intake.E,triglycerides,uterus.weight.mg,ucp1,ucp1.batw,GTT_AUC,P4,FSH,LH,body.weight,body.fat,no.cycles,no.CL,cholesterol,adiponectin,triglycerides,uterus.weight,adipo.size,red.liver,ucp1,ucp1.batw,fgf21,basal.glucose
23467,OSO118.2/10+1,blank,4,4.84,7.31,3.19,2.229607937,10.79130241,16.29843402,7.112449317,34.20218575,17.50738595,105.37,1.5686,33.03706824,11748,0.366,870.3,617.38,19.7,19.9,3,,18.83868557,14052.0987,17.50738595,0.10537,1546.32788,0.0506307,1.5686,33.0370682,14.0520987,10.7
23468,O104.2/8,dht,2,0.74,11.62,3.23,3.117771429,2.307150857,36.228504,10.07040171,48.60605657,19.9036789,30.45,0.7828,15.31598513,9714,3.62,7617,179.82,17.03,23.4,0,,76.63705853,7777.2793,19.9036789,0.03045,,,0.7828,15.3159851,4.70973484,8.3
23469,O103.2/5,blank,1,8.88,3.03,3.22,2.090909524,18.56727657,6.335455857,6.732728667,31.6354611,40.03253964,46.26,0.1807,4.314708691,16588,,9474,471.61,21.84,16.3,2,,36.09341986,11035.4111,40.03253964,0.04626,,,0.1807,4.31470869,0.75679347,8.5
23470,OSO119.2/4,blank,10,3.43,5.89,6.19,2.233511111,7.660943111,13.15538044,13.82543378,34.64175733,,70.52,0.8827,21.17294315,16108,,,,18.98,18.7,3,0,,,,0.07052,1159.59619,3.76440437,0.8827,21.1729432,0.15812719,9
23471,O103.2/6,blank,2,0.74,11.62,3.23,3.641238095,2.69451619,42.31118667,11.76119905,56.7669019,34.76069516,25.6,0.5149,6.880010689,12758,0.32,2384,99.85,21.41,25.6,2,0,40.88086059,27488.2027,34.76069516,0.0256,,,0.5149,6.88001069,4.84381135,9.7
23472,O3B.5/4,dht,5,4.93,3.06,7.8,2.091811111,10.31262878,6.400942,16.31612667,33.02969744,61.83880544,56.81,0.4107,8.48553719,21661,0.502,1675,105.31,22.42,20.4,0,,50.3262733,10873.3824,61.83880544,0.05681,1680.79005,0.0917693,0.4107,8.48553719,10.8733824,9.3
23473,O3B.5/5,dht,5,4.93,3.06,7.8,2.091811111,10.31262878,6.400942,16.31612667,33.02969744,53.69140943,78,1.0368,16.44930985,18348,0.59,1872,200.49,25.22,25.1,0,,59.48206259,7175.5148,53.69140943,0.078,,,1.0368,16.4493099,7.17551483,12.3
23474,O105.1/2,dht,4,4.84,7.31,3.19,2.396363492,11.5983993,17.51741713,7.64439954,36.76021597,95.52049402,106.3,0.1262,1.881055299,19099,0.0151,4287,2.31,27.05,29.1,1,0,43.51602336,,95.52049402,0.1063,1866.43134,0.53935141,0.1262,1.8810553,,10.3
23475,O105.1/3,dht,4,4.84,7.31,3.19,2.396363492,11.5983993,17.51741713,7.64439954,36.76021597,93.83867784,76.48,1.4202,19.30668842,23400,0.0402,1122,2.31,23.75,24.4,1,,29.64514664,12325.135,93.83867784,0.07648,,,1.4202,19.3066884,12.325135,7.5
23476,O105.1/5,blank,5,4.93,3.06,7.8,2.305912698,11.3681496,7.056092857,17.98611905,36.41036151,20.98201072,56.09,0.5006,10.85664715,14879,2.3,1079,300.25,23.75,22.3,1,,28.19296099,25010.3253,20.98201072,0.05609,1816.34721,0.85656528,0.5006,10.8566472,,9.9
23477,O105.1/4,blank,5,4.93,3.06,7.8,2.305912698,11.3681496,7.056092857,17.98611905,36.41036151,100.0596779,67.04,1.0831,12.90480162,18750,0.924,1627,2.31,21.9,23.3,2,,24.73776065,9315.5173,100.0596779,0.06704,,,1.0831,12.9048016,,9.2
23478,O106.1/4,blank,6,0.74,7.46,7.8,2.715588889,2.009535778,20.25829311,21.18159333,43.44942222,21.46126931,58.73,0.7013,10.40195788,12047,1.012,4640,261.03,23.3,21,3,,63.89669781,23520.3857,21.46126931,0.05873,1478.52419,14.9462607,0.7013,10.4019579,0.50704753,11.3
23479,O106.1/3,blank,6,0.74,7.46,7.8,2.715588889,2.009535778,20.25829311,21.18159333,43.44942222,53.67295032,63.83,0.466,7.664473684,18953,0.772,3367,126.96,22.8,21.4,2,,41.92811325,16886.2114,53.67295032,0.06383,,,0.466,7.66447368,,9.6
23480,O2B.4/4,dht,6,0.74,7.46,7.8,3.418452381,2.529654762,25.50165476,26.66392857,54.6952381,38.23531993,76.71,0.7226,13.70897363,15773,0.346,3707,61.09,22.87,21.2,0,,75.7394134,12738.1263,38.23531993,0.07671,1535.37011,0.79450552,0.7226,13.7089736,3.83802092,9.7
23481,O2B.4/5,dht,6,0.74,7.46,7.8,3.418452381,2.529654762,25.50165476,26.66392857,54.6952381,58.12455137,61.18,1.9261,33.43923611,16044,,2867,72.26,21.64,23.6,0,,110.016111,4501.0882,58.12455137,0.06118,,,1.9261,33.4392361,,10.7
23482,O106.1/5,dht,7,2.09,4.47,9.26,2.823650794,5.901430159,12.62171905,26.14700635,44.67015556,62.75448118,64.32,0.7675,10.22515321,17910,0.454,44.9,562.78,25.6,26,0,,61.49553222,17448.3149,62.75448118,0.06432,1967.55783,11.9866659,0.7675,10.2251532,17.4483149,9.2
23483,O101.3/5,blank,7,2.09,4.47,9.26,2.663244048,5.56618006,11.90470089,24.66163988,42.13252083,60.79815876,60.2,0.617,12.29573535,16963,1.968,1724,72.26,21.39,18.4,2,,47.38905411,14106.2876,60.79815876,0.0602,1254.1028,4.20467922,0.617,12.2957354,14.1062876,9.4
